perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,no_of_premiums_paid,application_underwriting_score,renewal
0.429,12058,355060,0.0,0.0,0.0,13,99.02,1
0.01,21546,315150,0.0,0.0,0.0,21,99.89,1
0.917,17531,84140,2.0,3.0,1.0,7,98.69,0
0.049,15341,250510,0.0,0.0,0.0,9,99.57,1
0.052000000000000005,31400,198680,0.0,0.0,0.0,12,99.87,1
0.54,17527,282080,2.0,0.0,0.0,9,99.18,1
1.0,24829,118400,0.0,0.0,0.0,11,99.05,1
1.0,21911,180240,1.0,6.0,4.0,3,99.33,0
0.621,9868,92520,0.0,0.0,0.0,4,99.58,1
0.9079999999999999,23008,107180,2.0,0.0,0.0,11,98.91,0
0.051,17529,200100,1.0,0.0,0.0,22,98.66,1
0.033,16075,122060,0.0,0.0,0.0,7,97.03,1
1.0,16436,27290,1.0,0.0,1.0,4,98.32,1
0.111,19723,136000,0.0,0.0,0.0,9,99.59,1
0.027000000000000003,16430,114110,0.0,0.0,1.0,13,98.7,1
0.963,12788,90140,1.0,0.0,0.0,9,99.06,1
0.055,23010,410310,0.0,0.0,0.0,10,99.66,1
0.125,22639,315110,0.0,0.0,0.0,14,99.31,1
0.012,16433,87530,0.0,0.0,0.0,5,99.06729119785638,1
0.0,11687,152610,1.0,2.0,1.0,5,99.53,0
0.455,17530,190090,0.0,0.0,0.0,31,99.22,1
0.22899999999999998,17895,364950,0.0,0.0,0.0,10,99.07,1
0.307,24466,360110,0.0,0.0,0.0,14,99.02,1
0.88,17161,225090,1.0,0.0,1.0,21,99.72,1
0.87,16430,240040,0.0,0.0,0.0,10,98.83,1
0.03,32495,315070,0.0,0.0,0.0,9,99.89,1
0.0,8406,24690,0.0,0.0,0.0,4,99.06729119785638,1
0.0,15342,236820,0.0,0.0,0.0,7,99.84,1
0.0,22273,395050,0.0,0.0,0.0,8,98.61,1
0.036000000000000004,21179,82540,0.0,0.0,0.0,8,99.6,1
0.326,17895,200050,0.0,0.0,0.0,11,98.79,0
0.39,15345,128640,0.0,0.0,0.0,16,97.42,1
0.301,13513,150080,0.0,0.0,0.0,15,97.44,0
0.016,11693,75060,0.0,0.0,0.0,10,99.77,1
0.023,23007,245040,0.0,0.0,0.0,22,98.94,1
0.135,13149,107030,0.0,0.0,0.0,6,99.43,1
0.036000000000000004,21549,150090,0.0,0.0,0.0,9,99.89,1
0.003,23000,288080,0.0,0.0,0.0,23,99.57,1
0.631,16438,337600,0.0,0.0,0.0,7,99.66,1
0.0,16799,99230,0.0,0.0,0.0,6,99.06729119785638,1
0.945,17165,105520,0.0,10.0,0.0,8,99.58,0
0.006999999999999999,10594,185580,0.0,0.0,0.0,14,99.32,1
0.04,21545,316090,0.0,0.0,0.0,8,99.52,1
0.0,21542,390130,0.0,0.0,0.0,22,92.82,1
0.026000000000000002,26290,87050,0.0,0.0,0.0,8,99.32,1
0.863,18992,92450,3.0,1.0,2.0,11,98.77,0
0.273,18262,129110,0.0,0.0,0.0,6,99.2,1
